正反同义标签,格式标签,否定式,肯定式
1,就差没,就差没……呃……”萧北辰煞住舌头，两手一摊，“现在，随你处置啰！,就差……呃……”萧北辰煞住舌头，两手一摊，“现在，随你处置啰！
1,就差没,”她就差没一气冲天了，他真的是得寸进尺。,”她就差一气冲天了，他真的是得寸进尺。
1,就差没,可是，不管朕说尽多少好话、狠话，就差没下旨召告天下，而他却老当朕在唱大戏，每回朕还没唱……呃！,可是，不管朕说尽多少好话、狠话，就差下旨召告天下，而他却老当朕在唱大戏，每回朕还没唱……呃！
1,就差没,”“那些恐怖的画，她以为把颜料挤在一张画布上就是画，就差没与毕氏拜把子。,”“那些恐怖的画，她以为把颜料挤在一张画布上就是画，就差与毕氏拜把子。
1,就差没,我宋家明辛辛苦苦活到如今，就差没个黄毛丫头来给我受气了，她有什么稀奇？,我宋家明辛辛苦苦活到如今，就差个黄毛丫头来给我受气了，她有什么稀奇？
1,就差没,”从比赛时的忐忑，一直到赛后的踌躇满志，威氏不仅想高举一杯庆功酒，高傲的他就差没为自己“树碑立传”了：“要说制约我们球员发挥的理由不仅如此，他还拼命为球队诡辩：“我们并不是等到人数占优时才在场面上占优的。,”从比赛时的忐忑，一直到赛后的踌躇满志，威氏不仅想高举一杯庆功酒，高傲的他就差为自己“树碑立传”了：“要说制约我们球员发挥的理由不仅如此，他还拼命为球队诡辩：“我们并不是等到人数占优时才在场面上占优的。
1,就差没,”男子像是小兵见到长官一样，立刻站得直直的，就差没举手敬礼了。,”男子像是小兵见到长官一样，立刻站得直直的，就差举手敬礼了。
1,就差没,在车上，老头还拉着我不松手，那架势真跟电影里的绑架差不多，就差没从怀里掏出支手枪来了。,在车上，老头还拉着我不松手，那架势真跟电影里的绑架差不多，就差从怀里掏出支手枪来了。
1,就差没,”“爹，甭急，让女儿告诉你一间后宫大事……”大神官之女把自收买的后宫女侍口中探来的话儿，全一五一十地向父亲禀告，那形容得声色俱佳的模样就差没从新演练而已。,”“爹，甭急，让女儿告诉你一间后宫大事……”大神官之女把自收买的后宫女侍口中探来的话儿，全一五一十地向父亲禀告，那形容得声色俱佳的模样就差从新演练而已。
1,就差没,阿珠就差没代她去解手了，简直让人喘不过气来。,阿珠就差代她去解手了，简直让人喘不过气来。
1,就差没,她们俩白天在学校是最要好的同学，晚上下了课更是一起到速食店打工，感情好的有如连体婴，就差没住在一起。,她们俩白天在学校是最要好的同学，晚上下了课更是一起到速食店打工，感情好的有如连体婴，就差住在一起。
1,就差没,现在有不少服务行业就差没公开把‘妓院’这两个字挂在大门上了，其实干的还不是那么回事儿？,现在有不少服务行业就差公开把‘妓院’这两个字挂在大门上了，其实干的还不是那么回事儿？
1,就差没,”姬娜说，“现在流行把荷包底都翻转给人看，就差没公开表演床上三十六式。,”姬娜说，“现在流行把荷包底都翻转给人看，就差公开表演床上三十六式。
1,就差没,”中学生就差没兴奋的跳上天去。,”中学生就差兴奋的跳上天去。
1,就差没,倒是很不错，就差没养个戏子，在家清唱。,倒是很不错，就差养个戏子，在家清唱。
1,就差没,我忽然珍惜自己，衣服拉得严密，叫伙计买牛奶及三文治上来进补，向同事借暖炉，放在足底下，俨如老姑婆一名，就差没养只玳瑁猫。,我忽然珍惜自己，衣服拉得严密，叫伙计买牛奶及三文治上来进补，向同事借暖炉，放在足底下，俨如老姑婆一名，就差养只玳瑁猫。
1,就差没,虽是这么想，不过，韩若雨还是被她的“色理”和鬼脸糗得找不出话辩驳，整张脸红得像只被煮熟的螃蟹一样，就差没冒烟。,虽是这么想，不过，韩若雨还是被她的“色理”和鬼脸糗得找不出话辩驳，整张脸红得像只被煮熟的螃蟹一样，就差冒烟。
1,就差没,”春日得意得屁股都快翘起来了，就差没写在脸上。,”春日得意得屁股都快翘起来了，就差写在脸上。
1,就差没,他好似看见雅正的身形在厨房边一闪，就差没出来招呼：“要不要添点茶？,他好似看见雅正的身形在厨房边一闪，就差出来招呼：“要不要添点茶？
1,就差没,在发言中，小泉大肆渲染日本对“建立和平以及国家重建”作出的贡献，并提及日本对联合国日常运作、维和行动的参与记录，就差没列举日本缴纳联合国会费的明细表，而所有这些“自我表扬”结束后，小泉得出的结论是：“那些具有意愿和资源的国家，必须在安理会拥有它的地位。,在发言中，小泉大肆渲染日本对“建立和平以及国家重建”作出的贡献，并提及日本对联合国日常运作、维和行动的参与记录，就差列举日本缴纳联合国会费的明细表，而所有这些“自我表扬”结束后，小泉得出的结论是：“那些具有意愿和资源的国家，必须在安理会拥有它的地位。
1,就差没,我高兴得就差没到街上裸奔庆祝你离开……”黎晓宁说话声音突然消音。,我高兴得就差到街上裸奔庆祝你离开……”黎晓宁说话声音突然消音。
1,就差没,那些记录，像小说般，有形容词，有对白，有感想，就差没加上回目。,那些记录，像小说般，有形容词，有对白，有感想，就差加上回目。
