1,婉华的眼珠子差点儿没吓掉了，直盯着她眼前那“孔雀”瞧个不停。,婉华的眼珠子差点儿吓掉了，直盯着她眼前那“孔雀”瞧个不停。,,,
1,婉华差点儿没笑岔了气。,婉华差点儿笑岔了气。,,,
1,眼看事情已成功一半，张晓晶差点没笑叉了气。,眼看事情已成功一半，张晓晶差点笑叉了气。,,,
1,席俊瑞着茶杯的手抖了抖，嘴唇也扭曲一下，差点没听了吐出来。,席俊瑞着茶杯的手抖了抖，嘴唇也扭曲一下，差点听了吐出来。,,,
1,一听到这个名字，荻莲差点没跳了起来。,一听到这个名字，荻莲差点跳了起来。,,,
1,“可是护士长今天休假……”叶美萱还没来得及讲完，曦晨即顺手推开了病房房门……顿时，她差点没傻了眼……失火了吗？,“可是护士长今天休假……”叶美萱还没来得及讲完，曦晨即顺手推开了病房房门……顿时，她差点傻了眼……失火了吗？,,,
1,我临时向云帆恶补了两句意大利话去赞美珍娜，我的怪腔怪调逗得她前俯后仰，好不容易弄清楚我的意思之后，珍娜竟感动得给了我一个大大的拥抱，哦，那真是名副其实的大拥抱，差点没有把我的骨头都给挤碎了。,我临时向云帆恶补了两句意大利话去赞美珍娜，我的怪腔怪调逗得她前俯后仰，好不容易弄清楚我的意思之后，珍娜竟感动得给了我一个大大的拥抱，哦，那真是名副其实的大拥抱，差点把我的骨头都给挤碎了。,,,
1,一出房间，眼前所见却让她差点没岔了气。,一出房间，眼前所见却让她差点岔了气。,,,
1,”她一听到姊姊独自在家，心脏差点没停了。,”她一听到姊姊独自在家，心脏差点停了。,,,
1,顿时，昏天暗地，亦绯红差点没昏了过去。,顿时，昏天暗地，亦绯红差点昏了过去。,,,
1,亦绯红一听，差点没岔了气。,亦绯红一听，差点岔了气。,,,
1,“别……”一溜烟的往楼上窜，唇白齿寒的范修伦差点没休克了。,“别……”一溜烟的往楼上窜，唇白齿寒的范修伦差点休克了。,,,
1,”总机那头传来的呼唤声差点没教林秘书乐昏了头，自她爬到总裁秘书这个位置就一直等这个临幸的机会。,”总机那头传来的呼唤声差点教林秘书乐昏了头，自她爬到总裁秘书这个位置就一直等这个临幸的机会。,,,
1,”屈之升躲也不是，闪也不好的睁大眼睛任手中的小杰添个够，声声的啧啧声，今织敏差点没笑岔了气！,”屈之升躲也不是，闪也不好的睁大眼睛任手中的小杰添个够，声声的啧啧声，今织敏差点笑岔了气！,,,
1,”织敏差点没笑撑了肚子，鞋带都没松开要怎么穿？,”织敏差点笑撑了肚子，鞋带都没松开要怎么穿？,,,
1,刚才我一不小心盯着袭人瞧时，少允差点没用眼神杀了我。,刚才我一不小心盯着袭人瞧时，少允差点用眼神杀了我。,,,
1,在我上高中的时候，我爸把那些年来攒的一点积蓄全去买了股票，把我妈吓得半死，差点没吵翻了，结果股市突然开始上涨，我爸也就莫名其妙的发了，他见好就收，用那笔钱扩展了原来的公司，业务竟然还蒸蒸日上。,在我上高中的时候，我爸把那些年来攒的一点积蓄全去买了股票，把我妈吓得半死，差点吵翻了，结果股市突然开始上涨，我爸也就莫名其妙的发了，他见好就收，用那笔钱扩展了原来的公司，业务竟然还蒸蒸日上。,,,
1,然后轿帘掀开了一角，露出一只雪白的皓腕，将婢女招到轿门前，教茶郎差点没看傻了眼。,然后轿帘掀开了一角，露出一只雪白的皓腕，将婢女招到轿门前，教茶郎差点看傻了眼。,,,
1,站在这人间地狱之中，他差点没乱了心神。,站在这人间地狱之中，他差点乱了心神。,,,
1,”我差点没变了脸。,”我差点变了脸。,,,
1,”他怒目瞪她，火炬般的双眸差点没将她烧焦了。,”他怒目瞪她，火炬般的双眸差点将她烧焦了。,,,
1,上官小雅简直不可思议极了，差点没骇掉了下巴。,上官小雅简直不可思议极了，差点骇掉了下巴。,,,
1,他和气的笑着，替小胡理好衣领，让他双腿再度踏回地球表面，哥俩好的拍了下小胡肩膀，差点没吓瘫了小胡，以为自己中了化骨绵掌。,他和气的笑着，替小胡理好衣领，让他双腿再度踏回地球表面，哥俩好的拍了下小胡肩膀，差点吓瘫了小胡，以为自己中了化骨绵掌。,,,
1,此刻她打量修长的单夜茴，看到她运动服的领口上别着一只造型简单小巧的兰花胸针，一口气差点没岔了去！,此刻她打量修长的单夜茴，看到她运动服的领口上别着一只造型简单小巧的兰花胸针，一口气差点岔了去！,,,
1,阿杰感激得差点没抱住他了。,阿杰感激得差点抱住他了。,,,
1,”羽仙抬起一张笑脸，差点没吓坏了小电电，这人的心情怎么变化得那么快？,”羽仙抬起一张笑脸，差点吓坏了小电电，这人的心情怎么变化得那么快？,,,
1,渐渐我真相信子群的不得已：不是她爱选洋人，而是中国人没挑她，而且一些唐人仔的嘴巴，差点没将她的风流韵事编了一首歌来唱，多么累。,渐渐我真相信子群的不得已：不是她爱选洋人，而是中国人没挑她，而且一些唐人仔的嘴巴，差点将她的风流韵事编了一首歌来唱，多么累。,,,
1,一接近杨明，全身的鸡皮疙瘩差点没掉了一地，就连头皮也发起麻来。,一接近杨明，全身的鸡皮疙瘩差点掉了一地，就连头皮也发起麻来。,,,
1,这不瞄还好，一瞄即天旋地转，差点没昏了过去！,这不瞄还好，一瞄即天旋地转，差点昏了过去！,,,
1,”想爬起身子来，只闻全身关节卡卡作响，差点没拆了这身骨头。,”想爬起身子来，只闻全身关节卡卡作响，差点拆了这身骨头。,,,
1,”那声音嗲得恶心极了，让富海差点没当场掉了一地的鸡皮疙瘩，大吐一番。,”那声音嗲得恶心极了，让富海差点当场掉了一地的鸡皮疙瘩，大吐一番。,,,
1,她满脸通红的想推开他，结果差点没滑了下去。,她满脸通红的想推开他，结果差点滑了下去。,,,
1,”话才问完，两道凌厉的目光迸射而来，差点没灼伤了他。,”话才问完，两道凌厉的目光迸射而来，差点灼伤了他。,,,
1,你没瞧见当有容少爷看见她在本上不知写了什么字，差点没气晕了，谁都知道他最重视展家的生意。,你没瞧见当有容少爷看见她在本上不知写了什么字，差点气晕了，谁都知道他最重视展家的生意。,,,
1,上次是她将器皿摔得稀烂，这次却是他差点没拆了这座“揽月楼”。,上次是她将器皿摔得稀烂，这次却是他差点拆了这座“揽月楼”。,,,
1,不看犹可，一看到症结所在；一向冷颜旁罕笑的欧阳敏差点没笑岔了气。,不看犹可，一看到症结所在；一向冷颜旁罕笑的欧阳敏差点笑岔了气。,,,
1,”志岁点点头，然后有点同情的叹了口气，“这张计划表竟然流入我老妈的手里，我老妈差点没为了这张纸，气得动手打我三哥。,”志岁点点头，然后有点同情的叹了口气，“这张计划表竟然流入我老妈的手里，我老妈差点为了这张纸，气得动手打我三哥。,,,
1,莫云樊见状，差点没笑岔了气。,莫云樊见状，差点笑岔了气。,,,
1,”周红颖听到葛丽雯这么一说，差点儿没笑岔了气。,”周红颖听到葛丽雯这么一说，差点儿笑岔了气。,,,
1,王大妈转过身一看，差点没犯了心脏病，原来掉下来的是一个盖楼房、搭脚手架用的长大钢管卡子，重约二三斤。,王大妈转过身一看，差点犯了心脏病，原来掉下来的是一个盖楼房、搭脚手架用的长大钢管卡子，重约二三斤。,,,
1,”“甭装蒜了，昨晚呼你五六遍也不回个电话，人家老马大老远来的就想见你一面……”我肠子差点没青了，老马是个对我有的人。,”“甭装蒜了，昨晚呼你五六遍也不回个电话，人家老马大老远来的就想见你一面……”我肠子差点青了，老马是个对我有的人。,,,
1,老板鼻子差点没气歪了，这是哪跟哪儿啊？,老板鼻子差点气歪了，这是哪跟哪儿啊？,,,
1,她觉得电话里很难解释清楚，尽管已经临近春节，还是打点行装坐了三天三夜火车专程前去”负荆请罪”，到了攀枝花，差点没累得散了架。,她觉得电话里很难解释清楚，尽管已经临近春节，还是打点行装坐了三天三夜火车专程前去”负荆请罪”，到了攀枝花，差点累得散了架。,,,
1,"邯钢职工马秀兰原是“法轮功”痴迷者,为修炼“法轮功”自己差点没断送了性命。","邯钢职工马秀兰原是“法轮功”痴迷者,为修炼“法轮功”自己差点断送了性命。",,,
1,她满脸通红的想推开他，结果差点没滑了下去。,她满脸通红的想推开他，结果差点滑了下去。,,,
1,林若萍差点没气得跳了起来。,林若萍差点气得跳了起来。,,,
1,他又自动地来找高铁杆儿，说他怎样被八路军抓出村去，差点没有把他枪毙了！,他又自动地来找高铁杆儿，说他怎样被八路军抓出村去，差点把他枪毙了！,,,
1,这把沙土一进嘴，自然是喊不出来了，呛得个武男义雄两眼冒出金花，差点没有吐了。,这把沙土一进嘴，自然是喊不出来了，呛得个武男义雄两眼冒出金花，差点吐了。,,,
1,“再别提你这书，差点没叫它要了我的命！”张教官的父亲两只手抖擞着。,“再别提你这书，差点叫它要了我的命！”张教官的父亲两只手抖擞着。,,,
1,谢阿姨热情地把妈一直送进了电梯，似乎还有说不完的话，差点没跟着电梯一起下了楼。,谢阿姨热情地把妈一直送进了电梯，似乎还有说不完的话，差点跟着电梯一起下了楼。,,,
1,“爹爹死后，妈妈领着哥哥和我下了关东，混了两年，差点没喂了关东狗，多亏周伯伯把我们带回来。,“爹爹死后，妈妈领着哥哥和我下了关东，混了两年，差点喂了关东狗，多亏周伯伯把我们带回来。,,,
1,和尚离得好近。我差点没杀了他。,和尚离得好近。我差点杀了他。,,,
1,我从她俩掌间接下一搪瓷盆米饭，手一软，差点没掉了，忙用另一只手托住。,我从她俩掌间接下一搪瓷盆米饭，手一软，差点掉了，忙用另一只手托住。,,,
1,在城里那工夫，孙刚、李铁带着手枪队专跟咱们做对，差点没吃了他们的亏。,在城里那工夫，孙刚、李铁带着手枪队专跟咱们做对，差点吃了他们的亏。,,,
