1,两年后他高兴地说，第一口差点没吐，后来一次能喝三大碗。,两年后他高兴地说，第一口差点吐，后来一次能喝三大碗。
1,“受不了，刚才差点没躺倒。,“受不了，刚才差点躺倒。
1,６岁时的一天，她独自到十里外的海滩追着浪花摸海蟹，一玩就是八个小时，急得家人差点没到区广播站播放寻人启事。,６岁时的一天，她独自到十里外的海滩追着浪花摸海蟹，一玩就是八个小时，急得家人差点到区广播站播放寻人启事。
1,李国安愣在那里，鼻子一酸，差点没哭出声来。,李国安愣在那里，鼻子一酸，差点哭出声来。
1,』他下意识地回敬：『你才瞎眼了』，差点没有打起来。,』他下意识地回敬：『你才瞎眼了』，差点打起来。
1,黄白华的妻子抱着带给黄白华的家乡特产，被颠簸的车子不断地抛起来，又摔下去，五脏六腑都差点儿没颠出来。,黄白华的妻子抱着带给黄白华的家乡特产，被颠簸的车子不断地抛起来，又摔下去，五脏六腑都差点儿颠出来。
1,马继红的心一下凉了半截，泪水含在眼里，差点没滚出来。,马继红的心一下凉了半截，泪水含在眼里，差点滚出来。
1,他说刚才过××的时候，车差点儿没翻进悬崖下。,他说刚才过××的时候，车差点儿翻进悬崖下。
1,张钧汉派车把她拉到医院去看病，检查不出什么问题，气得张钧汉差点没昏过去。,张钧汉派车把她拉到医院去看病，检查不出什么问题，气得张钧汉差点昏过去。
1,”在出租车上，朋友给我讲述这个故事的时候，我差点没笑得背过气去。,”在出租车上，朋友给我讲述这个故事的时候，我差点笑得背过气去。
1,”我差点没笑出声来，忙说：“计算机更新快，但数学都是最基本的理论，不会过时的。,”我差点笑出声来，忙说：“计算机更新快，但数学都是最基本的理论，不会过时的。
1,有一天，当她瞧见一个叫“哈利波特：储藏的石柱”的名字时，差点没从椅子上跌下来，所以她不得不这么做以正视听。,有一天，当她瞧见一个叫“哈利波特：储藏的石柱”的名字时，差点从椅子上跌下来，所以她不得不这么做以正视听。
1,我接过来一掂量，好家伙，沉得差点儿没掉地。,我接过来一掂量，好家伙，沉得差点儿掉地。
1,隔天我就顶着两个大黑轮去学校上课，梅芬差点没吐血，直问我昨晚做了什么不可见人的勾当。,隔天我就顶着两个大黑轮去学校上课，梅芬差点吐血，直问我昨晚做了什么不可见人的勾当。
1,可是当看到他在《加勒比海盗》上的第一个镜头的时候，我差点没有晕倒在座位上，这个眼影黑得如熊猫一般，头发油腻凌乱如稻草，还在胡子上扎两个小辫子的黝黑男人真的是那个强尼·戴普吗。,可是当看到他在《加勒比海盗》上的第一个镜头的时候，我差点晕倒在座位上，这个眼影黑得如熊猫一般，头发油腻凌乱如稻草，还在胡子上扎两个小辫子的黝黑男人真的是那个强尼·戴普吗。
1,据悉，美军目前正在科威特疯狂大采购，令科威特众多商家差点没乐晕过去，因为可以借此大赚一笔。,据悉，美军目前正在科威特疯狂大采购，令科威特众多商家差点乐晕过去，因为可以借此大赚一笔。
1,负责中心管理工作的诺·夏基教授说，15分钟后他回到展览机器人的大厅，发现台上只剩下11名机器人在表演，再扭头一看，他差点没晕过去，原来一个叫“盖克”的机器人不知什么时候已经从展台上跑了出来，正摇摇摆摆地向中心的大门走去。,负责中心管理工作的诺·夏基教授说，15分钟后他回到展览机器人的大厅，发现台上只剩下11名机器人在表演，再扭头一看，他差点晕过去，原来一个叫“盖克”的机器人不知什么时候已经从展台上跑了出来，正摇摇摆摆地向中心的大门走去。
1,”说得这一对年轻人差一点没掉下眼泪来。,”说得这一对年轻人差一点掉下眼泪来。
1,”灵雪怒气腾腾，差点没撕下贴在客栈墙上的通缉赏单。,”灵雪怒气腾腾，差点撕下贴在客栈墙上的通缉赏单。
1,当他回头看着坐在身边的弟弟时……时，他这个做哥哥的心脏差点没跳出来。,当他回头看着坐在身边的弟弟时……时，他这个做哥哥的心脏差点跳出来。
1,在洗手间里，他瞧着肮脏模糊的镜子里头肮脏模糊的自己，差一点没有流下泪来。,在洗手间里，他瞧着肮脏模糊的镜子里头肮脏模糊的自己，差一点流下泪来。
1,有只手突然放在维加的肩上，让他吓得差点没跳起来，回头一看才知道是富兰克林。,有只手突然放在维加的肩上，让他吓得差点跳起来，回头一看才知道是富兰克林。
1,”“你管得着吗?”又等了半个钟头，炸丸子就来了，一看这色儿，全黑了，起码放了半斤酱油四两盐，没法吃呀!夹起一个一咬，差点没飞起来，这个咸哪，舌头都木了！,”“你管得着吗?”又等了半个钟头，炸丸子就来了，一看这色儿，全黑了，起码放了半斤酱油四两盐，没法吃呀!夹起一个一咬，差点飞起来，这个咸哪，舌头都木了！
1,”我跟胖子一听这话差点没吐血，真是敢上我们哥儿俩烧香，连佛爷都掉腚。,”我跟胖子一听这话差点吐血，真是敢上我们哥儿俩烧香，连佛爷都掉腚。
1,我们俩躲在柱子上，角度和阿东相反，在他的位置看不到我们，但还是清清楚楚的听见有人突然笑了一声，这古城本就是居民被屠灭后地遗迹，中夜时分，清冷的月光下轮转庙殿堂里突然发出一声笑声，那阿东如何能不害怕，直吓得他差点没瘫到地上。,我们俩躲在柱子上，角度和阿东相反，在他的位置看不到我们，但还是清清楚楚的听见有人突然笑了一声，这古城本就是居民被屠灭后地遗迹，中夜时分，清冷的月光下轮转庙殿堂里突然发出一声笑声，那阿东如何能不害怕，直吓得他差点瘫到地上。
1,我们的心都跟着那手电筒往下掉，但发生得太过突然，都来不及伸手去接，眼睁睁地看着它落在了水晶石上，那声音也不算大，但是能给心理防线撞出一道大口子，明叔腿都软了，差点没瘫到地上。,我们的心都跟着那手电筒往下掉，但发生得太过突然，都来不及伸手去接，眼睁睁地看着它落在了水晶石上，那声音也不算大，但是能给心理防线撞出一道大口子，明叔腿都软了，差点瘫到地上。
