sentence,label
可孩子们还得看报啊，她又只好向母亲、姐姐、同事以及附近饭馆“求救”，把零钱兑换成一元、五元的票子，好不容易才订上报。,0
有一次，一个惯窃分子接连窜了20多家商店，店店有联防人员值勤，他从早窜到午，好不容易下了手，又被当场抓获。,0
为什么，她此时会觉得好心酸难舍？,1
东乡一大队女青年韩满堂的妈妈说：“俺好容易养大这个姑娘，还能白白嫁出去！,0
连日来，南靖县金山镇荆美村计生“二女户”何甲忠家好不热闹。一会儿，县、镇计生部门送来“计生优生，齐上大学”光荣匾；一会儿，远亲近邻纷纷前来捐资助学……原来，何甲忠的两个女儿今年双双考上大学。,1
好不容易到了“苗家钧窑”和“钧台钧窑遗址博物馆”，满以为这里的接待室应该暖和了，却未想，开着空调，也开着门。,0
文章是写河南新郑市为民服务应急中心事迹的，读起来令人回肠荡气，好不痛快。作者叫邢军纪，通过《光明日报》一打听，才知道是解放军艺术学院的教授和作家。,1
牛婵痛得两眼直眨，忍着不让泪水流下来，扁着双唇好委屈的睨着他。,1
”铁蛋正感好笑，却又听得一个温婉女音在亭内响起：“桑大哥，我们还是走吧，反正也已经看够了……”铁蛋不由心头狂跳，胸口似甜似苦，窒胀得好难过。唐赛儿瞟了他一眼，笑道：“唉哟，豆豆又碰到蛋了，好会滚哪！,1
"风清扬看了四周一下,但觉清雅幽静,心想钱老爷生活好不惬意.",1
后来家里好不容易东拼西凑地给资本家送去礼物，才让我学点技术。,0
随着温热的水花不断洒落，烟雾弥漫的浴室里，只见冷霜凝垂首笑得好灿烂，而谷澧錾却认栽地仰天摇头叹息。,1
对于萨伯与沃尔沃轿车易主，瑞典人好不伤感。瑞典最大日报《每日新闻》1月11日的文章说，瑞典的“国粹”有5样，国王、国旗、社民党、萨伯和沃尔沃两家汽车公司，现如今，萨伯与沃尔沃先后成为美国汽车巨人所拥有的诸多汽车牌子中的两个小小商标。,1
“听说丽莎和那个女人有说有笑，而人还互相抱在一起，模样好不亲密。而且她们一直用中文交谈，似乎很神秘地谈论某事。,1
“过去我到有的机关办事，没进大门就被保安拦下，好容易进了大门到处找小门，还得看‘老爷们’的脸色，不是推三就是阻四，然后盖一大堆‘萝卜头’，事还没办妥。,0
同事和工人们见他抱病工作，心疼地劝他回去，这个车间好不容易把他劝走了，他又来到了另一个车间，总是熬到深夜，第二天一早，他又骑自行车上班了。,0
"便扯上蕙也有夫妻，好不害羞！""香菱听了，红了脸，忙要起身拧他，笑骂道：""我把你这个烂了嘴的小蹄子！",0
晚８时刚过，这里便街灯通明，人声鼎沸，鸡叫鸭鸣，好不热闹。三处灯光最亮的地方摆着三台公平秤，市管员在招呼买卖双方过秤成交。,1
杨顺恭喜路兄，官升巡按，恩赐上方剑，好不威风！路楷上感严丞相提拔之恩，又承杨兄相助的厚意，有这上方宝剑在手，我等要杀出个样儿来，以报严府的大恩大德！,1
举目一望，只见茫茫的练湖，周围连棵树影也没有……好容易在湖边的几间破庙里才找到了场部。,0
一个62岁的寡妇，丈夫去世已30年了，好不容易养大儿子和女儿，自己是贫苦农民，靠帮别人家劳动来过苦日子的。,0
龙女千辛万苦好容易摸索着到了家。,0
好容易结结巴巴地说了一句：“高……高的跑啦！,0
和其他远道来的嘉宾一样，我们被安排入住全市最豪华的酒店，坐上来接的车子，前面有军车开路，好不威风，我跟沈礼道：“全赖阁下，小商人才有这等风光。,1
好不容易绕过了那座大山，站在山嘴上就可以很清晰地听到密杂的枪声。,0
笔者好不容易挤到了前面，科协的农艺师尹忠贵边发“明白纸”边对我们说：“前一段时间，举办了两期‘科技致富’短期培训班，有不少农民反映记不住，还有一部分农民没有顾上来听课，要求能发个‘明白纸’，这不，我们赶印了10万多份，没想到发的这么快，才几天的时间，8万多份‘明白纸’就被乡下的农民‘抢’走了。,0
在工作组的帮助下，好不容易才将原属回民村的100多亩地，划归了大营。,0
到了正月半，大拱棚里已是桃花绽放，好不喜人。可是棚内无风，桃花咋授粉？,1
“我把这些好不容易捉来的昆虫放在一个铁盒子里。,0
”她憎厌这种感觉，让她觉得好不舒服！“雅惠？,0
我也还记得，脾气一向温柔如天使的皮果提一下变得好急躁，使劲扭着我的头发梳，把它们梳错了方向。,1
